album_year,count
2014,173
2005,162
2007,161
2010,150
2011,149
2013,144
2006,124
2008,121
2009,120
2015,114
2012,103
0,97
2004,90
2002,79
2003,79
2016,65
2001,39
1998,37
2000,35
1999,26
1997,22
1995,21
1993,17
1990,15
1996,15
1994,15
1991,11
1992,9
1988,6
1985,6
1984,5
1967,4
1989,4
1971,4
1962,3
1987,3
1986,3
1965,3
1969,3
1983,3
1975,2
1979,2
1976,2
1964,2
1972,2
1978,2
1980,2
1966,1
1968,1
1959,1
1981,1
1982,1
1970,1
1977,1
