genre,count
Other/Religious/Christian Pop,4
Christian Pop,4
Alternative a Punk/New Romantic/New Romantic,4
Alternative a Punk/New Wave Rock/New Wave Rock,3
Electronica/Electronica Mainstream/Big Beat,3
Big Beat,3
Rock/Mainstream Rock/Instrumental Rock,3
Instrumental Rock,3
Urban/Western Hip-Hop/Rap/Gangsta Rap,3
Gangsta Rap,3
Alternative a Punk/Punk/Hardcore Punk,3
Hardcore Punk,3
Other/Spoken Word/General Spoken Word,3
General Spoken Word,3
Traditional/Folk/Contemporary U.S. Folk,3
Contemporary U.S. Folk,3
Traditional/Country/General Country,3
General Country,3
Rock/Metal/Black Metal,3
Black Metal,3
Electronica/Downtempo Lounge a Ambient/Trip Hop,3
Trip Hop,3
Other/Religious/Hymns a Spirituals,3
Hymns a Spirituals,3
Electronica/Downtempo Lounge a Ambient/General Downtempo,3
General Downtempo,3
Jazz/Jazz Vocals/Jazz Vocals,3
Pop/Western Pop/Other Pop,3
Other Pop,3
Alternative a Punk/Punk/General Punk,3
General Punk,3
Electronica/Disco/Disco,3
Rock/Metal/Thrash Metal,3
Thrash Metal,3
Alternative a Punk/Indie Rock/Post-Rock,3
Post-Rock,3
Bebop a Modern Jazz,3
Soundtrack/Stage Musicals/Stage Musicals,3
Traditional/Celtic/Celtic,3
Reggae,3
Alternative a Punk/Indie Rock/Dream Pop,3
Dream Pop,3
Urban/Contemporary RaB/Soul/Neo-Soul,3
Neo-Soul,3
Pop/European Pop/Chanson,3
Chanson,3
Traditional/Country/Contemporary Country,3
Contemporary Country,3
Other/New Age/General New Age,3
General New Age,3
Pop/European Pop/Mediterranean Pop,3
Mediterranean Pop,3
Classical/Baroque Era/Baroque Instrumental,2
Baroque Instrumental,2
Baroque Era,2
Alternative a Punk/Swing Revival/Swing Revival,2
Soundtrack/Game Music/Game Music,2
Classical/Other Classical/Opera,2
Opera,2
Alternative a Punk/Indie Rock/Twee Pop,2
Twee Pop,2
Techno,2
Rock/70's Rock/Art Rock,2
Art Rock,2
Urban/Contemporary RaB/Soul/Urban AC,2
Urban AC,2
Pop/Classic Pop Vocals/Classic Female Vocal Pop,2
Classic Female Vocal Pop,2
Alternative Roots,2
Other/Latin Rock/Latin Alternative,2
Latin Alternative,2
Latin Rock,2
Other/New Age/New Age World Music,2
New Age World Music,2
Rock/Hard Rock/Stoner Rock,2
Stoner Rock,2
Jazz/Bebop a Modern Jazz/Modern Jazz,2
Modern Jazz,2
Urban/Classic RaB/Soul/Classic Soul,2
Classic Soul,2
Rock/European Rock/Turkish Rock,2
Turkish Rock,2
European Rock,2
Pops a Nostalgia,2
Urban/Western Hip-Hop/Rap/Southern Rap,2
Southern Rap,2
Urban/Western Hip-Hop/Rap/Conscious Hip-Hop/Rap,2
Conscious Hip-Hop,2
Rock/Metal/Death Metal,2
Death Metal,2
Urban/Western Hip-Hop/Rap/Midwestern Rap,2
Midwestern Rap,2
Pop/Easy Listening/Lounge,2
Lounge,2
Pop/European Pop/German Pop,2
German Pop,2
Classic Country,2
Rock/Hard Rock/Glam,2
Glam,2
Rock/Folk Rock/Classic Folk Rock,2
Classic Folk Rock,2
Other/Reggae/Other Reggae,2
Other Reggae,2
Rock/Japanese Rock/Japanese Rock,2
Electronica/House/Deep House,2
Deep House,2
Electronica/Downtempo Lounge a Ambient/Acid Jazz,1
Acid Jazz,1
Rock/60's Rock/Psychedelic Rock,1
Psychedelic Rock,1
Jazz/Big Band a Swing/Big Band,1
Big Band,1
Big Band a Swing,1
Traditional/Acoustic Blues/Piedmont Blues,1
Piedmont Blues,1
Acoustic Blues,1
Alternative a Punk/Ska Revival/Ska Punk,1
Ska Punk,1
Ska Revival,1
Alternative a Punk/Indie Rock/Madchester,1
Madchester,1
Electronica/Techno/Hardcore Techno,1
Hardcore Techno,1
Traditional/Country/Country Pop,1
Country Pop,1
Rock/Metal/Speed Metal,1
Speed Metal,1
Alternative a Punk/Punk/Pre-Punk,1
Pre-Punk,1
Electronica/Electronica Mainstream/Electroklash,1
Electroklash,1
Alternative a Punk/Indie Rock/Noise Rock,1
Noise Rock,1
Pop/Classic Pop Vocals/Show Tunes,1
Show Tunes,1
Traditional/Classic Country/Traditional Country,1
Traditional Country,1
Other/Reggae/Roots Reggae,1
Roots Reggae,1
Electronica/House/U.K. Garage,1
U.K. Garage,1
Rock/60's Rock/Garage Rock,1
Garage Rock,1
Pop/Chinese Pop/General Chinese Pop,1
General Chinese Pop,1
Chinese Pop,1
Pop/African Pop/South African Pop,1
South African Pop,1
African Pop,1
Electronica/Techno/Rave,1
Rave,1
Electronica/House/General House,1
General House,1
Pop/Pops a Nostalgia/Pops Polka,1
Pops Polka,1
Traditional/European Traditional/Klezmer a European Jewish,1
Klezmer a European Jewish,1
Rock/Alternative Roots/Alt Country,1
Alt Country,1
Rock/Alternative Roots/Roots Rock,1
Roots Rock,1
Other/Religious/Christian Inspirational,1
Christian Inspirational,1
Pop/Western Pop/World Pop Fusion,1
World Pop Fusion,1
Classical/Romantic Era/Romantic Era Instrumental,1
Romantic Era Instrumental,1
Romantic Era,1
Classical/Other Classical/Classical Choral,1
Classical Choral,1
Other/Religious/Christian Rap,1
Christian Rap,1
Traditional/Folk/Old Timey,1
Old Timey,1
Pop/Western Pop/Karaoke,1
Karaoke,1
Rock/70's Rock/Country Rock,1
Country Rock,1
Pop/Pops a Nostalgia/Early Pop Vocals,1
Early Pop Vocals,1
Urban/Classic RaB/Soul/Deep Soul,1
Deep Soul,1
Alternative a Punk/Indie Rock/Jangle Pop,1
Jangle Pop,1
Urban/Western Hip-Hop/Rap/West Coast,1
West Coast,1
Alternative a Punk/Indie Rock/Neo-Psychedelic,1
Neo-Psychedelic,1
Soundtrack/Original Film/TV Music/General TV Music,1
General TV Music,1
Alternative a Punk/Indie Rock/Chamber Pop,1
Chamber Pop,1
Rock/70's Rock/Classic Prog,1
Classic Prog,1
Pop/Indian Subcontinent Pop/Indian Film Pop,1
Indian Film Pop,1
Indian Subcontinent Pop,1
Jazz/Bebop a Modern Jazz/Post-Bop,1
Post-Bop,1
Traditional/Classic Country/Outlaw Country,1
Outlaw Country,1
Pop/Middle East Pop/Israeli Pop,1
Israeli Pop,1
Middle East Pop,1
Other/Mexican/Norteño,1
Norteño,1
Mexican,1
Alternative a Punk/Alternative/Alternative Dance,1
Alternative Dance,1
Electronica/Downtempo Lounge a Ambient/Ambient Electronica,1
Ambient Electronica,1
Alternative a Punk/Indie Rock/Original Post-Punk,1
Original Post-Punk,1
