tempo,count
Medium Tempo,1457
Medium Fast,648
Medium,591
Fast Tempo,314
Fast,286
"",276
Medium Tempo/Medium/80s,243
80s,243
60s,242
Medium Slow,218
Medium Tempo/Medium/70s,218
70s,218
Slow Tempo,214
Medium Tempo/Medium Fast/120s,211
120s,211
Medium Tempo/Medium Fast/100s,165
100s,165
Medium Tempo/Medium Fast/90s,150
90s,150
Medium Tempo/Medium/60s,130
Slow Tempo/Slow/40s,123
40s,123
Slow,123
Medium Tempo/Medium Fast/110s,122
110s,122
Fast Tempo/Fast/130s,122
130s,122
Medium Tempo/Medium Slow/60s,112
Medium Tempo/Medium Slow/50s,106
50s,106
Very Slow,81
Slow Tempo/Very Slow/30s,80
30s,80
Fast Tempo/Fast/140s,77
140s,77
Fast Tempo/Fast/150s,62
150s,62
Very Fast,28
Fast Tempo/Fast/170s,13
170s,13
Fast Tempo/Fast/160s,12
160s,12
Fast Tempo/Very Fast/180s,11
180s,11
Slow Tempo/Static/0,10
0,10
Static,10
Fast Tempo/Very Fast/190s,7
190s,7
Fast Tempo/Very Fast/240s,5
240s,5
Fast Tempo/Very Fast/220s,3
220s,3
Fast Tempo/Very Fast/200s,1
200s,1
Slow Tempo/Very Slow/20s,1
20s,1
Fast Tempo/Very Fast/250s,1
250s,1
