mood,count
Brooding,165
Defiant,153
Urgent,137
"[""Defiant"" ""Heavy Brooding""]",115
Heavy Brooding,115
[],112
Yearning,87
Empowering,80
"[""Urgent"" ""Energetic Anxious""]",74
Energetic Anxious,74
"[""Brooding"" ""Dreamy Brooding""]",61
Dreamy Brooding,61
 Romantic,60
"[""Yearning"" ""Energetic Yearning""]",60
Energetic Yearning,60
Excited,56
"[""Brooding"" ""Energetic Melancholy""]",56
Energetic Melancholy,56
Sophisticated,45
"[""Empowering"" ""Dramatic Emotion""]",45
Dramatic Emotion,45
Energizing,42
"[""Urgent"" ""Dark Pop Intensity""]",42
Dark Pop Intensity,42
Melancholy,36
Aggressive,36
Cool,34
Sensual,34
"[""Sophisticated"" ""Smoky "" "" Romantic""]",34
Smoky ,34
"[""Excited"" ""Euphoric Energy""]",33
Euphoric Energy,33
Romantic,32
Rowdy,32
Gritty,30
"[""Brooding"" ""Alienated "" "" Brooding""]",26
 Brooding,26
Alienated ,26
"[""Empowering"" ""Powerful "" "" Heroic""]",26
 Heroic,26
Powerful ,26
"[""Romantic"" ""Dramatic "" "" Romantic""]",26
Dramatic ,26
Sentimental,26
"[""Energizing"" ""Edgy "" "" Sexy""]",24
 Sexy,24
Edgy ,24
Somber,24
"[""Brooding"" ""Evocative "" "" Intriguing""]",22
 Intriguing,22
Evocative ,22
 Defiant,22
"[""Sensual"" ""Dreamy Pulse""]",21
Dreamy Pulse,21
Fiery,20
"[""Yearning"" ""Sensitive "" "" Exploring""]",19
 Exploring,19
Sensitive ,19
"[""Defiant"" ""Hard Dark Excitement""]",18
Hard Dark Excitement,18
 Soulful,18
"[""Somber"" ""Enigmatic "" "" Mysterious""]",18
 Mysterious,18
Enigmatic ,18
"[""Urgent"" ""Dark Pop""]",17
Dark Pop,17
"[""Gritty"" ""Strumming Yearning""]",16
Strumming Yearning,16
"[""Aggressive"" ""Heavy Triumphant""]",16
Heavy Triumphant,16
"[""Cool"" ""Wary "" "" Defiant""]",16
Wary ,16
"[""Melancholy"" ""Wistful "" "" Forlorn""]",15
 Forlorn,15
Wistful ,15
"[""Rowdy"" ""Driving Dark Groove""]",14
Driving Dark Groove,14
"[""Defiant"" ""Hard Positive Excitement""]",14
Hard Positive Excitement,14
 Sincere,14
"[""Cool"" ""Dark Groovy""]",13
Dark Groovy,13
"[""Sentimental"" ""Tender "" "" Sincere""]",13
