artist_type,count
Male,1705
Male/Male Group,1013
Male Group,1013
"",465
Female,360
Male/Male,315
Mixed,216
Mixed/Mixed Group,184
Mixed Group,184
Female/Female,171
Male/Male Duo,62
Male Duo,62
Mixed/Mixed Duo,32
Mixed Duo,32
Female/Female Duo,14
Female Duo,14
Female/Female Group,4
Female Group,4
Unknown/Other,3
Other,3
Unknown,3
