album_year,count
2013,27
2012,25
2014,23
2007,22
2011,21
2015,19
2009,18
2008,15
2016,15
2010,15
2005,11
2006,10
2003,9
0,8
2001,6
2004,5
2002,5
1997,4
2000,2
1996,2
1999,2
1998,2
1991,2
1994,1
1989,1
1967,1
1995,1
