id,count
148313870,1
117515238,1
190988028,1
280124014,1
182822408,1
176695584,1
166899389,1
133457921,1
133458935,1
233264026,1
62474442,1
73541104,1
78125021,1
80831208,1
82359339,1
82359774,1
84355055,1
84431484,1
84431606,1
84504502,1
84504561,1
90660535,1
90768506,1
90836611,1
91430811,1
91481981,1
91833724,1
96459682,1
106630039,1
104656064,1
98860628,1
104870163,1
105800320,1
166221447,1
108620009,1
109953558,1
110251218,1
116103667,1
115804412,1
116632233,1
119611622,1
120538888,1
121731660,1
124574162,1
127502334,1
141174308,1
141174589,1
142711952,1
142712019,1
142712248,1
142712273,1
129901697,1
142712557,1
142712689,1
143097456,1
143719901,1
148725570,1
155030271,1
155031505,1
155034832,1
158569102,1
158570079,1
163261294,1
172645069,1
176727821,1
176976758,1
176995266,1
98641062,1
177039309,1
180258156,1
181015535,1
189300035,1
190991464,1
191002891,1
191145521,1
191168123,1
191916333,1
60829596,1
201835715,1
201835904,1
201838139,1
201981766,1
208875652,1
214457741,1
213037284,1
235794441,1
240379622,1
211266836,1
240777521,1
243224204,1
254837711,1
255304691,1
255900931,1
258870193,1
259312389,1
262199632,1
262632190,1
265057956,1
267756680,1
269584763,1
270269284,1
272321540,1
273626151,1
274376442,1
278834261,1
287592840,1
287633510,1
288301904,1
456239099,1
288516778,1
289519796,1
289931850,1
290645073,1
296134892,1
299256602,1
299796451,1
299797166,1
309614394,1
311459933,1
311461715,1
314205132,1
314761943,1
318249931,1
318250098,1
320627447,1
321227615,1
323046600,1
323698632,1
326426609,1
328144033,1
328784771,1
329212477,1
330526954,1
330951434,1
337488142,1
338566410,1
338675781,1
339158762,1
339878798,1
340209144,1
340215425,1
340492386,1
341294111,1
342877703,1
343344092,1
344433793,1
345589964,1
346002452,1
346235799,1
346891794,1
347634732,1
347770111,1
350606509,1
351270892,1
351296796,1
351300515,1
351911500,1
352178870,1
352589234,1
353273145,1
353741367,1
353755413,1
354404384,1
355263161,1
355639001,1
357496370,1
358682041,1
359711732,1
361629746,1
361644804,1
362727945,1
363258945,1
363941215,1
364251809,1
355455352,1
364664833,1
365442874,1
364720318,1
366146358,1
366390491,1
367138318,1
351914166,1
366388826,1
364962242,1
392000020,1
394400551,1
395675588,1
395676907,1
395678567,1
397958363,1
394427174,1
430252819,1
456239018,1
456239019,1
456239021,1
456239022,1
456239023,1
456239024,1
456239031,1
456239032,1
456239034,1
456239037,1
456239038,1
456239036,1
456239039,1
456239040,1
456239043,1
456239042,1
456239045,1
456239047,1
456239053,1
456239054,1
456239064,1
456239055,1
456239056,1
456239058,1
456239059,1
456239061,1
456239062,1
456239063,1
456239067,1
456239069,1
456239070,1
456239071,1
456239072,1
456239073,1
456239075,1
456239074,1
456239076,1
456239079,1
456239080,1
456239081,1
456239082,1
456239084,1
456239085,1
456239093,1
456239087,1
456239089,1
456239110,1
456239095,1
456239097,1
456239100,1
456239101,1
456239103,1
456239104,1
456239112,1
456239105,1
456239106,1
456239108,1
456239109,1
456239111,1
456239113,1
456239116,1
456239117,1
456239118,1
456239120,1
456239121,1
456239119,1
456239123,1
456239125,1
456239127,1
456239128,1
456239129,1
456239131,1
456239130,1
456239133,1
456239134,1
456239132,1
456239137,1
456239135,1
456239138,1
456239140,1
