artist_type,count
Male,232
Male/Male Group,96
Male Group,96
Female,66
Male/Male,59
"",37
Female/Female,32
Mixed,27
Male/Male Duo,18
Male Duo,18
Mixed/Mixed Group,17
Mixed Group,17
Mixed/Mixed Duo,10
Mixed Duo,10
Female/Female Group,1
Female Group,1
Female/Female Duo,1
Female Duo,1
Unknown/Other,1
Other,1
Unknown,1
