Artist,Title,genre_id
Portishead,Elysium,18
Adaline,Heartache,18
Music Renascence,The System,1001
ATB,Made of Glass,11
ATB,Missing,11
Music Renascence,What is real,1001
Florence And The Machine,Rabbit Heart (Raise It Up),18
Aminata Savadogo,Love Injected (Латвия),2
Paramore,The Only Exception,1
Nightcore,Cocaine,18
Robbie Williams,The Road to Mondalay,18
Taalbi Brothers,Aroul (Escape),1
Ilya Beshevli,Night Forest,1001
Belasco,Chloroform,18
Akira Yamaoka,Shot Down In Flames (feat.Mary Elizabeth McGlynn),3
VAST,Turquoise,6
Hybrid,The Formula Of Fear,18
Hybrid, Disappear Here,18
iamamiwhoami,Shadowshow,21
 EXGF ,We Are The Hearts,1001
The Pretty Reckless,You Make Me Wanna Die,1
Neil Patrick Harris [Dr. Horrible's Sing-Along Blog],A Brand New Day (зловещая песня),2
Dr. Horrible's Sing-Along Blog,Slipping,2
Dr. Horrible's Sing-Along Blog,Everything You Ever,2
Two Door Cinema Club,Sun,18
Vivienne Mort,ГГПТКН,18
I Monster,Daydream In Blue,1001
Eels,Flyswatter,21
Journey ,Separate Ways (Worlds Apart),2
Sex Pistols (Sid Vicious),I Need To Know Your Name,1
Temples,The Guesser,1
Ольга Арефьева и Ковчег,А и Б ,18
Agnes Obel,Riverside,1001
Elina Born ja Stig Rästa,Goodbye to Yesterday,2
Two Steps From Hell,"A Hole In The Sun (A Night to Remember edit, Witcher 3 Сinematic OST)",18
 Marcin Przybyłowicz,Hunt or Be Hunted (The Witcher 3: Wild Hunt OST),6
The Witcher 3: Wild Hunt OST,Sword of Destiny (by Marcin Przybyłowicz & Percival),13
Tom Holkenborg aka Junkie XL,Brothers In Arms (Extended Version) (Mad Max: Fury Road OST),2
Lorde,Tennis Court,2
the daydream club,soundwaves of gold,1001
The Weepies,Fancy Things,17
The Exies,Stray,18
Take That,Rule The World,18
Sophie Hunger,Shape,13
Крихітка Цахес,Щось на зразок,18
Emilie Autumn,Opheliac,18
Emilie Autumn,Juliet,18
Hurts,Miracle,2
VNV Nation,Illusion,18
Emilie Autumn,Liar (Machine Mix by Dope Stars INC.),18
Emilie Autumn,Let The Record Show,13
The Exies ,Ugly,18
The Exies,This Is The Sound,1
iday,return the love,6
Ramona Falls,Fingerhold,1
::: Ramona Falls,I Say Fever,18
Anberlin,The Runaways,18
First Aid Kit,Winter Is All Over You,13
