tempo,count
Medium Tempo,842
Medium Fast,389
Medium,320
Fast Tempo,155
60s,151
Medium Tempo/Medium/80s,142
80s,142
Fast,141
Slow Tempo,134
Medium Slow,133
Medium Tempo/Medium Fast/120s,131
120s,131
"",112
Medium Tempo/Medium/70s,111
70s,111
Medium Tempo/Medium Fast/90s,106
90s,106
Medium Tempo/Medium Slow/60s,84
Medium Tempo/Medium Fast/110s,81
110s,81
Slow Tempo/Slow/40s,80
40s,80
Slow,80
Medium Tempo/Medium Fast/100s,71
100s,71
Medium Tempo/Medium/60s,67
Fast Tempo/Fast/130s,56
130s,56
Very Slow,49
Medium Tempo/Medium Slow/50s,49
50s,49
Slow Tempo/Very Slow/30s,46
30s,46
Fast Tempo/Fast/140s,39
140s,39
Fast Tempo/Fast/150s,24
150s,24
Very Fast,14
Fast Tempo/Fast/170s,12
170s,12
Fast Tempo/Fast/160s,10
160s,10
Fast Tempo/Very Fast/180s,8
180s,8
Fast Tempo/Very Fast/190s,5
190s,5
Slow Tempo/Static/0,5
0,5
Static,5
Slow Tempo/Very Slow/20s,3
20s,3
Fast Tempo/Very Fast/230s,1
230s,1
