album_year,count
2009,110
2014,99
2013,89
2006,83
2010,82
2011,81
2007,79
2005,77
2015,70
2008,67
2012,65
2004,45
0,39
2001,34
2003,32
2016,30
2002,29
2000,17
1999,15
1995,12
1994,11
1997,9
1998,8
1996,7
1992,4
1970,4
1993,4
1980,3
1969,3
1971,3
1973,3
1975,2
1991,2
1987,2
1978,2
1988,2
1985,2
1990,2
1989,2
1966,2
1967,1
1965,1
1984,1
1954,1
1982,1
1986,1
1976,1
1983,1
1972,1
1961,1
1974,1
