id,artist,title,duration,date,url,lyrics_id,genre_id
165367496,DeeExpus,The King of Number 33 - Part 2 - Accession (2011),443,1346243826,https://psv4.vk.me/c4913/u13484018/audios/51997fd4bf86.mp3?extra=gIyLPQAP8ZjkwCGlPeL69SRGl0GtyiODkdqPNQZV2AC8Z_VQnmTlvOb9tFeOZyYEG1E5tRDdLDYlnM_jgNg-62HeIL0pH9utMNRoaiFg2UCAPFeAcQaKPOcEvCpKMDfuCYB7NKi0eiUt,"",18
165364856,Liam and Me,Say It Out Loud .,198,1346242792,https://psv4.vk.me/c4610/u1353845/audios/abf8b4cf4517.mp3?extra=jhoXu8qqxLq3stfwTyu4pQyFPz8RTZniuZECNmoriULhkxYZsnMv6X60OsOEzEupMGakDBRcY09-xhoRz5dwWfMxzeGKaG-WKVUEoxjnFeryKIav85Q6vbDupBUGQbjN_mWBclHRtQf6,20409593,18
165209525,Revolver,Back To You,200,1346152980,https://psv4.vk.me/c4378/u49167773/audios/7df2ebfcaf9f.mp3?extra=uIalT9DQHoUQ242FQBW9RUZi4ggGG3q3-vEH0bNOKiyFqkPxIwNAeVujR8OcN2gyEzdQtlRvFPS-iz0XCnX0yxRhO50Kjy3rgveJw0zVnJvhycIbdNr-hn5oAuSLcnizB9-QECtO9JkI,7408871,18
165070972,Lюk,Сахалiн,188,1346068979,https://cs7-5v4.vk-cdn.net/p22/033bc8769f09fb.mp3?extra=hXE0OHWKUzaPZl-4WGgXAMLB-VLLJlXcemnsXqW7G1qfiUJ8KPmbvE-n6J3rRocFIuCM5Vz79zQsvQA048ojzgnVRkhk8LvnnlR1pJ4W1pRq6Am-b2h63tN0knrmRdbsiDFw7KxusY5u,11111017,18
163915119,Lynsey De Paul,Sugar Me,211,1345291503,https://cs7-3v4.vk-cdn.net/p1/bd9ed38e0db20a.mp3?extra=8Kj9xXfaZ-aZbtgOy5A1XFMIbmLIzAbSblsFavNRfqyLJQP4ZqTShBTJxMHVFaH4eu4VswnWZ8RaCYRHPR45pZFZ8TPfe85jj4HL-8N-NxzAFgT3IBCGO6BKoe0sfUPiEonjtD0IR7rt,7703924,18
163984653,La Roux,Tigerlily,205,1345332888,"","",22
164995825,Yeah Yeah Yeahs,Heads Will Roll (A-Trak Remix) Radio Edit,203,1346010852,https://cs7-4v4.vk-cdn.net/p21/fd4b2ff7129dd6.mp3?extra=N8fPf1Zn44GkK8ObcECZemO5HDOHC4Hk8XzWcHXjB8jITz1cXAGsHBk46wzvwPJgxZmLsJ99YaRVudM8bxTgz7t4t3fyBwJxEke55OX7kl469Fv-HUwqoT27wa07NJSgdFowyJsvlB8N,3615833,18
164965867,kate miller heidke,can't shake it,195,1345998116,https://psv4.vk.me/c4495/u462772/audios/3734ad9b4037.mp3?extra=T-FcOzc6_jtp4-FKxR3F-bkncCTB0-Pucas5jGbd7eTzjW2eFbQ0e10bFbdaQeaw-zleXpNVdJAejXtlyhMcJM-0ay1w8IbLzgRb_yL_tLPZ_Kys3rEtManNmeuJrSBYgoNb2FniXRaW,"",18
164039446,Florence and The Machine,Kiss With A Fist,130,1345381405,https://cs7-4v4.vk-cdn.net/p7/91d90cdfa5d06a.mp3?extra=wE2V5DrqMoS_lytThmxI3b_zqP9EQkgLpsL4BLexE3yl1MsiEtFKdDbX1VYZnkwYSmJccVkFAP92DDi4W9O7ELt7OE6Fgk7FNKymXa2Q39NnFHiSc21zINY9dQODZEvX7BWSyw2vz1B7,2024997,""
164425430,Yeah Yeah Yeahs,Gold Lion,189,1345639039,https://cs7-3v4.vk-cdn.net/p9/ef1b5fc8701a10.mp3?extra=nL9YjO2IKMcylhDE-sTA29xAKnF3I_KtJsyNSOFBbxZZsP3OSlRimel6GmYzj2sIzH-Up3JcTh_WCdUBwsS5_oVqHdkkk2858Mz8KN4-0lGPwHWm0mG9Fdhealmf2BirdnwGl_isTpwD,"",18
164744359,Madonna,Love Profusion,228,1345838853,https://psv4.vk.me/c4587/u6063662/audios/4792c19323a1.mp3?extra=nXeM-5PLLwyeeGE9H-S6SaO6MDSJe56o1WVzPoDAXNaG5SLpkkX5yL6zJqtDb8pBH8gCDAYBi03NboKCKNX-rQkcrW5iFEDtdIdFsjc9E0PTIvWPLAHfGRpWcKXYl0XYLr1aQez-X_5j,6377056,2
164425754,Anberlin,True Faith (New Order cover),223,1345639190,https://psv4.vk.me/c5064/u29157901/audios/f2ebdd36b13a.mp3?extra=vTocAnwoU6F_7eK_n7Ywo0Vmxc4xrKpgMNS9LdTjqXzdJdeOnhUtfCigdg_Y5xJ6REQAtbBiNGHygnKzjyEPm89gsfY7KzBRZhgymch75iwIXyT2F9ZV6YIwK6BrzZQ8vU7Y-WZLk-nw,6172740,21
164104179,Paula Seling & Ovi,Playing With Fire ,184,1345418646,https://psv4.vk.me/c5064/u20152245/audios/f76e33b4e96b.mp3?extra=9xt7sMezHrgRjRt5Sqf5BzASyEw2tSax0imlTichTas6Ecx6Rorii35RL9fF1EyB7pEoCMfeVnguFRgtMumOnPzrJZh6_seOX5lCg_e8x3RyMsqEIBmc7bMX6kZU3deDKim1IER__L_q,"",2
164103932,Within Temptation,Fire and ice,237,1345418096,https://psv4.vk.me/c5047/u133349728/audios/818ae76d6384.mp3?extra=tEyvW2rK39s2iap4_ZvZgoIpn-VyI9q02cxeXIjt0hfZdVlCR9vx5803SmIfESWSy0bHgiL8isRDGz8CbKD3dKAZg_zYJeUFbjHdjxhBvDKXCbCzavhDfwCZ4KbiOBnFoo70AoHrRGV-,"",18
164103788,U2,With Or Without You,295,1345417812,https://psv4.vk.me/c4616/u1801899/audios/eb43db0b815d.mp3?extra=QICw91NNLvnwNWAAl69z_LJJgBDsWMeMUpO-agHRlKx96m1jZOu7tRMbMbzYyot2K06Pde8VYxNpy_YqjQ6v1FMWn7AXErztdZYYiqxIUp-lxbZ70LkvQOkCJvgGCQU2nWYMK-40pbF4,7220748,18
164103378,Michael Tolcher,Bad Habits,256,1345416975,https://psv4.vk.me/c4533/u237783/audios/eba0155c2b75.mp3?extra=Gk8ybGWeM8GI1ETU2YULcNc2F9G0WLpw4jsG2BXpw2-Pixzjp2jsX8-kCR9ptdTcYzSDcKuT2Y0rCOrSWalGx-A88QgPFJFrnQK07lPdKePyYl19uJTbPaMMI44-j5GIaSQeSlSTRtAE,10087790,18
164100483,Westlife,What About Now,249,1345413274,https://psv4.vk.me/c5009/u77554060/audios/fc0d87a21687.mp3?extra=hTaiiWygD3QC-5MFesSDAAJWDTn2woJPU5-x6LMwG8y3o337uTMQEE_L1b07kDW4-yyP3N8A1B0xKWvHVcDjHiIz4hUkSQzN2Tgs2QPyzkPVCzfwJ18uijn9bngcceX1jyfpCncHV_KK,7430525,18
