album_year,count
2015,208
2014,181
2012,173
2007,152
2005,150
2008,147
2009,141
2006,139
2016,137
2011,121
2003,118
2013,117
2004,112
2010,110
2002,102
0,91
2001,85
1997,51
1998,49
1999,49
2000,44
1996,38
1994,29
1992,27
1995,23
1993,20
1991,15
1989,11
1987,10
1988,9
1990,9
1986,7
1969,6
1983,6
1980,6
1984,5
1981,4
1972,4
1985,4
1973,3
1975,3
1966,2
1974,2
1971,2
1970,2
1959,2
1978,2
1982,1
1968,1
1967,1
1963,1
1979,1
1965,1
