artist_type,count
Male,1703
Male/Male Group,997
Male Group,997
"",711
Mixed,465
Mixed/Mixed Group,374
Mixed Group,374
Male/Male,312
Female,280
Female/Female,131
Mixed/Mixed Duo,91
Mixed Duo,91
Male/Male Duo,82
Male Duo,82
Unknown/Other,18
Other,18
Unknown,18
Female/Female Group,12
Female Group,12
Female/Female Duo,6
Female Duo,6
