genre,count
Rock,1027
Alternative a Punk,795
Metal,588
Goth,384
Rock/Mainstream Rock/General Mainstream Rock,272
General Mainstream Rock,272
Mainstream Rock,272
Pop,198
Alternative a Punk/Goth/Goth,192
Indie Rock,188
Alternative,180
Traditional,157
Alternative a Punk/Alternative/Alternative Rock,149
Alternative Rock,149
Industrial,148
Rock/Metal/Gothic Metal,139
Gothic Metal,139
Electronica,136
Western Pop,113
Other,106
Soundtrack,103
Rock/Metal/Industrial Metal,102
Industrial Metal,102
"",94
TV Music,88
Rock/Metal/Black Metal,78
Black Metal,78
Alternative a Punk/Industrial/Industrial,74
Original Film,72
European Pop,69
70's Rock,67
Pop/Western Pop/Pop Vocal,66
Pop Vocal,66
Garage Rock Revival,62
Synth Pop,62
Rock/Metal/Nu-Metal,60
Nu-Metal,60
Game Music,58
Soundtrack/Original Film/TV Music/General Film Music,55
General Film Music,55
Rock/Metal/Heavy Metal,55
Heavy Metal,55
Classical,51
Urban,48
New Age,44
Folk,41
Electronica Mainstream,41
Pop/European Pop/Eastern European Pop,41
Eastern European Pop,41
Alternative Folk,40
Punk,40
Rap,40
Country,39
Data a Other,38
Alternative a Punk/Indie Rock/Dream Pop,37
Dream Pop,37
Hard Rock,37
Electronica/Electronica Mainstream/Pop Electronica,36
Pop Electronica,36
Rock/Metal/Progressive Metal,35
Progressive Metal,35
Traditional/Folk/Traditional U.S. Folk,34
Traditional U.S. Folk,34
Rock/Metal/Doom Metal,33
Doom Metal,33
Alternative a Punk/Garage Rock Revival/Garage Rock Revival,31
Alternative a Punk/Synth Pop/Synth Pop,31
Other/New Age/New Age World Music,31
New Age World Music,31
Downtempo Lounge a Ambient,30
Soundtrack/Game Music/Game Music,29
Other Classical,28
Soul,27
Trance,26
Rock/Metal/Thrash Metal,25
Thrash Metal,25
Alternative a Punk/Indie Rock/Indie Pop,24
Indie Pop,24
Classical/Other Classical/General Classical,23
General Classical,23
Western Hip-Hop,23
Rock/Metal/Power Metal,22
Power Metal,22
Alternative a Punk/Indie Rock/General Indie Rock,22
General Indie Rock,22
Rock/Hard Rock/Stoner Rock,22
Stoner Rock,22
Alternative a Punk/Alternative Folk/Alternative Folk,20
Electronica/Downtempo Lounge a Ambient/Trip Hop,20
Trip Hop,20
Alternative a Punk/Alternative/Alternative Singer-Songwriter,20
Alternative Singer-Songwriter,20
Alternative a Punk/Indie Rock/Original Post-Punk,19
Original Post-Punk,19
Jazz,19
Traditional/Other Traditions/General World,19
General World,19
Other Traditions,19
Electronica/Dance a Club/Club Dance,19
Club Dance,19
Dance a Club,19
Other/Data a Other/Data a Other,19
Contemporary RaB,19
Traditional/Country/General Country,19
General Country,19
Alternative a Punk/Punk/General Punk,18
General Punk,18
Urban/Contemporary RaB/Soul/Urban AC,18
Urban AC,18
Alternative a Punk/Indie Rock/Neo-Psychedelic,17
Neo-Psychedelic,17
Pop/European Pop/French Pop,16
French Pop,16
New Wave Pop,16
Electronica Fusion,16
Alternative a Punk/Punk/Hardcore Punk,15
Hardcore Punk,15
60's Rock,15
Rock/Hard Rock/General Hard Rock,15
General Hard Rock,15
Folk Rock,15
Celtic,14
Rock/Metal/Classic British Metal,14
Classic British Metal,14
European Traditional,14
Rock/70's Rock/Classic Hard Rock,14
Classic Hard Rock,14
Electronica/Trance/Trance,13
Classic Country,13
Alternative a Punk/Indie Rock/Post-Punk Revival,13
Post-Punk Revival,13
Bebop a Modern Jazz,13
Rockabilly Revival,12
Adult Alternative Rock,12
Rock/Folk Rock/General Folk Rock,12
General Folk Rock,12
Alternative Roots,12
Electronica/Electronica Fusion/Ethno-Lounge Electronica,12
Ethno-Lounge Electronica,12
Traditional/Country/Americana,12
Americana,12
Alternative a Punk/Indie Rock/Post-Modern Art Music,11
Post-Modern Art Music,11
Electric Blues,11
New Wave Rock,10
Jazz/Bebop a Modern Jazz/Avant Garde,10
Avant Garde,10
Rock/70's Rock/Classic Rock,10
Classic Rock,10
Soundtrack/Original Film/TV Music/Anime Film/TV Music,9
Anime Film,9
Rock/70's Rock/Classic Pop-Rock,9
Classic Pop-Rock,9
Pop/Western Pop/Singer-Songwriter,9
Singer-Songwriter,9
Rock/70's Rock/Blues Rock,9
Blues Rock,9
Rock/70's Rock/Neo-Prog Rock,9
Neo-Prog Rock,9
Reggae,9
Alternative a Punk/Indie Rock/Noise Pop,9
Noise Pop,9
Alternative a Punk/Indie Rock/Post-Rock,9
Post-Rock,9
Emo a Hardcore,9
Alternative a Punk/Indie Rock/Neo-Glam,9
Neo-Glam,9
Spoken Word,9
Surf Revival,8
European Rock,8
Classical Crossover,8
Alternative a Punk/New Wave Pop/New Wave Pop,8
Pop/Western Pop/World Pop Fusion,8
World Pop Fusion,8
Techno,8
Pop/Western Pop/Adult Contemporary,8
Adult Contemporary,8
Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,8
European Hip-Hop,8
Rock/Metal/Death Metal,8
Death Metal,8
Rock/70's Rock/Classic Prog,8
Classic Prog,8
Pop/Western Pop/Adult Alternative Pop,8
Adult Alternative Pop,8
Traditional/Celtic/Celtic,7
Other/New Age/General New Age,7
General New Age,7
Traditional/Classic Country/Outlaw Country,7
Outlaw Country,7
Asian Traditional,7
Traditional/European Traditional/Eastern European,7
Eastern European,7
Rock/Alternative Roots/Roots Rock,7
Roots Rock,7
Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,7
General Hip-Hop,7
Jazz Vocals,6
Rock/European Rock/Chanson Rock,6
