mood,count
Defiant,436
Brooding,395
Defiant/Heavy Brooding,345
Heavy Brooding,345
Aggressive,316
"",256
Urgent,231
Brooding/Alienated / Brooding,168
 Brooding,168
Alienated ,168
Somber,122
Urgent/Energetic Anxious,120
Energetic Anxious,120
Aggressive/Aggressive Power,118
Aggressive Power,118
Rowdy,114
Brooding/Dreamy Brooding,109
Dreamy Brooding,109
Aggressive/Heavy Triumphant,102
Heavy Triumphant,102
Gritty,96
Yearning,89
Melancholy,84
Sensual,80
 Romantic,78
Sophisticated,77
Brooding/Energetic Melancholy,75
Energetic Melancholy,75
Somber/Enigmatic / Mysterious,73
 Mysterious,73
Enigmatic ,73
Aggressive/Dark Hard Beat,71
Dark Hard Beat,71
Fiery,61
Sensual/Dreamy Pulse,61
Dreamy Pulse,61
Defiant/Hard Dark Excitement,57
Hard Dark Excitement,57
Rowdy/Confident / Tough,52
 Tough,52
Confident ,52
Energizing,51
Urgent/Dark Pop Intensity,50
Dark Pop Intensity,50
Sophisticated/Smoky / Romantic,49
Smoky ,49
Melancholy/Wistful / Forlorn,48
 Forlorn,48
Wistful ,48
Gritty/Strumming Yearning,46
Strumming Yearning,46
Urgent/Dark Pop,44
Dark Pop,44
Brooding/Evocative / Intriguing,43
 Intriguing,43
Evocative ,43
Excited,42
Cool,42
Empowering,42
Rowdy/Driving Dark Groove,41
Driving Dark Groove,41
 Soulful,40
Romantic,40
Somber/Creepy / Ominous,40
 Ominous,40
Creepy ,40
Yearning/Sensitive / Exploring,39
 Exploring,39
Sensitive ,39
Serious,38
Sentimental,30
 Defiant,29
Fiery/Fiery Groove,29
Fiery Groove,29
Serious/Thrilling,28
Thrilling,28
Gritty/Sober / Determined,28
 Determined,28
Sober ,28
Yearning/Energetic Yearning,27
Energetic Yearning,27
Romantic/Dramatic / Romantic,25
Dramatic ,25
Aggressive/Chaotic / Intense,25
 Intense,25
Chaotic ,25
Upbeat,24
Melancholy/Light Melancholy,24
Light Melancholy,24
Energizing/Edgy / Sexy,22
 Sexy,22
Edgy ,22
Excited/Euphoric Energy,21
Euphoric Energy,21
Empowering/Dramatic Emotion,21
Dramatic Emotion,21
Defiant/Hard Positive Excitement,20
Hard Positive Excitement,20
Fiery/Passionate Rhythm,19
Passionate Rhythm,19
Gritty/Gritty / Soulful,18
Gritty ,18
Cool/Dark Groovy,17
Dark Groovy,17
Lively,17
Yearning/Energetic Dreamy,17
Energetic Dreamy,17
Urgent/Dark Urgent,17
Dark Urgent,17
Sophisticated/Dark Playful,16
Dark Playful,16
 Sincere,15
Cool/Wary / Defiant,15
Wary ,15
Empowering/Powerful / Heroic,14
